,0973.HK_px_USD,NTCO3.SA_px_USD,COUR_px_USD,WRBY_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,1112.HK_px_USD,FREY.PA_px_USD,LMND_px_USD,CONCHATORO.SN_px_USD,COCO_px_USD,LFG.AX_px_USD,2897.TW_px_USD,AMAL_px_USD,VITL_px_USD,ABB.AX_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,SML.NZ_px_USD,MOVI3.SA_px_USD,Index,
8/23/23,3.41225652,3.006564645,16.75,12.34000015,16.74839228,1.818144739,1.182416401,34.8231619,14.03999996,1.258181712,28.04999924,2.467348473,0.289292993,17.57587433,12.46000004,2.008890901,420.5282446,13.47306161,0.842311498,2.917679651,530.6427509,
8/24/23,3.437266822,2.938102932,16.47999954,11.59000015,16.06871885,1.737062681,1.182341004,34.60938099,13.56000042,1.273048697,27.19000053,2.453765354,0.294070473,17.35888863,12.06000042,2.205695219,429.0160846,13.36875309,0.828674491,2.820678679,534.5663307,
8/25/23,3.437266822,2.893806064,16.88999939,11.61999989,15.39681499,1.672273664,1.182341004,34.60938099,13.64000034,1.274778287,27.14999962,2.453765354,0.294070473,17.15176392,12.18999958,2.205695219,429.0160846,13.36875309,0.828674491,2.661274955,534.0971602,
8/27/23,3.480476546,2.893806064,16.88999939,11.61999989,15.39681499,1.672273664,1.170021897,34.60452311,13.64000034,1.274778287,27.14999962,2.39316566,0.297860302,17.15176392,12.18999958,2.207243517,415.5345006,13.73398001,0.815634168,2.661274955,522.5746786,
8/28/23,3.479336502,2.957895997,16.61000061,11.60999966,15.1676624,1.659793634,1.197230055,34.06014331,13.14999962,1.250121477,27.57999992,2.403685472,0.298840694,17.25039482,12.22999954,2.314033589,413.0621348,13.96466573,0.815171641,2.667159065,519.904049,
8/29/23,3.466634977,2.970877013,17,12.14999962,14.87820313,1.656774438,1.21399164,34.40970704,13.48999977,1.237214543,28.23999977,2.421797681,0.29961593,17.74354553,11.97999954,2.396233411,411.3845478,14.21654132,0.817478529,2.750987498,520.7761017,
8/30/23,3.504571169,2.903038339,17.17000008,11.97999954,14.85567099,1.619665371,1.223629814,34.6054796,13.89000034,1.233602325,28.67000008,2.347103536,0.298612552,17.73368073,11.98499966,2.312820237,406.1385431,13.31365831,0.773830223,2.676946937,515.9702207,
8/31/23,3.504571169,2.82747085,17.38999939,12.01000023,13.99991972,1.511512879,1.223629814,34.54195778,13.76000023,1.236553544,28.29000092,2.350552685,0.304184393,17.67450523,11.77999973,2.309731002,396.7063507,13.03419085,0.770966225,2.504389209,505.8954324,
9/1/23,3.504571169,2.867060845,17.42000008,12.14000034,14.61960745,1.556171384,1.223629814,34.54195778,14.06000042,1.234596048,27.12999916,2.350552685,0.304184393,18.00984573,11.85999966,2.309731002,396.7063507,13.03419085,0.770966225,2.62123945,506.3631825,
9/3/23,3.504691774,2.867060845,17.42000008,12.14000034,14.61960745,1.556171384,1.278837411,34.32477363,14.06000042,1.234596048,27.12999916,2.318343259,0.309618051,18.00984573,11.85999966,2.251395032,398.2375567,12.39190755,0.772464579,2.62123945,506.9266288,
9/4/23,2.903224954,2.867456294,17.42000008,12.14000034,14.6164211,1.53310187,1.244046517,34.59033098,14.06000042,1.2227344,27.12999916,2.383589001,0.311550885,18.00984573,11.85999966,2.215094068,398.3545855,11.87199827,0.765853592,2.570021354,506.1926031,
9/5/23,2.983054928,2.834990503,17.90999985,11.78999996,14.19276734,1.527715691,1.235595921,34.37146353,13.98999977,1.167531257,28.04999924,2.278683246,0.311095128,17.63505363,11.56999969,2.199406509,397.6090422,11.49659528,0.758988699,2.489834328,504.7319695,
9/6/23,2.932227648,2.779067923,18.22999954,11.98999977,13.57975013,1.534597823,1.219133134,34.15986836,13.84000015,1.169860151,28.37000084,2.293190137,0.306113817,17.20108032,11.30000019,2.156777363,405.7559042,11.28144134,0.763157094,2.466604868,510.7976291,
