Ticker,Company,longName,country,currency,Currency Pair,Exchange Rate,previousClose,previousCloseUSD,sharesOutstanding,impliedSharesOutstanding,marketCapHomeCurrency,marketCapUSD,marketCap USD TIKR,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website,shortName
CLSA3.SA,CLEARSALE   ON      NM,ClearSale S.A.,Brazil,BRL,BRL/USD, $0.20 ,4.87, $0.98 ,187926000,187926000,900165504," $180,303,150 ",,545321920,-72493000,0.27,-0.15,0.34435,-0.32151002,-0.13904999,Software - Infrastructure,Technology,https://www.clearsale.com.br,CLEARSALE   ON      NM
INCLU.BR,INCLUSIO SA/NV,Inclusio SA,Belgium,EUR,EUR/USD, $1.08 ,13.5, $14.60 ,7421730,7559170,102048792," $110,386,178 ",,225039232,9956900,,2.37,0.90535,0.79161,0.72019994,Real Estate Services,Real Estate,https://www.inclusio.be,INCLUSIO SA/NV
BIRD,"Allbirds, Inc.","Allbirds, Inc.",United States,USD,, $1.00 ,0.6876, $0.69 ,102641000,155188992,107499416," $107,499,416 "," $106,710,000 ",70625104,-97849000,-0.61,-1.01,0.41026002,-0.40287998,-0.38513002,Apparel Retail,Consumer Cyclical,https://www.allbirds.com,"Allbirds, Inc."
SML.NZ,Synlait Milk Limited (NS) Ordin,Synlait Milk Limited,New Zealand,NZD,NZD/USD, $0.60 ,0.73, $0.44 ,218582000,218582000,159564864," $95,595,310 ",,634229632,54548000,0.12,-0.06,0.08927,-0.00268,0.041300002,Packaged Foods,Consumer Defensive,https://www.synlait.com,Synlait Milk Limited (NS) Ordin
CVT.NZ,Comvita Limited Ordinary Shares,Comvita Limited,New Zealand,NZD,NZD/USD, $0.60 ,2.08, $1.25 ,70225400,70225400,146068832," $87,509,837 ",,252385568,7989000,0.19,0.05,0.57027,0.00072,0.035439998,Packaged Foods,Consumer Defensive,https://www.comvita.co.nz,Comvita Limited Ordinary Shares
ALQP.PA,QUADPACK,"Quadpack Industries, S.A.",Spain,EUR,EUR/USD, $1.08 ,18, $19.47 ,4359880,4382130,79349936," $85,832,826 ",,134521168,8468000,1.43,0.29,0.54195,0.06525,0.06092,Packaging & Containers,Consumer Cyclical,https://www.quadpack.com,QUADPACK
1346.HK,LEVER STYLE,Lever Style Corporation,Hong Kong,HKD,HKD/USD, $0.13 ,0.95, $0.12 ,639100032,689366016,600754048," $76,776,367 "," $76,810,000 ",579670272,18602392,,0.19,0.28717,0.09904,0.089209996,Apparel Manufacturing,Consumer Cyclical,https://www.leverstyle.com,LEVER STYLE
TENG.L,TEN LIFESTYLE GROUP PLC ORD 0.1,Ten Lifestyle Group Plc,United Kingdom,GBp,GBP/USD, $1.26 ,68.75, $86.80 ,86252896,86252896," 58,444,964 "," $73,786,767 "," $74,930,000 ",56708904,2306000,4.38,0.05,0.91471,0.036679998,0.0346,Travel Services,Consumer Cyclical,https://www.tenlifestylegroup.com,TEN LIFESTYLE GROUP PLC ORD 0.1
ZVIA,Zevia PBC,Zevia PBC,United States,USD,, $1.00 ,1.07, $1.07 ,64530000,64529600,69047104," $69,047,104 ",,268538,-27728000,-0.28,-1.321,0.44919997,-0.23535,-0.16660999,Beverages - Non-Alcoholic,Consumer Defensive,https://www.zevia.com,Zevia PBC
GROV,"Grove Collaborative Holdings, I","Grove Collaborative Holdings, Inc.",United States,USD,, $1.00 ,1.73, $1.73 ,32477700,38174900,64725544," $64,725,544 ",,75238944,-29439000,-0.09,-1.28,0.52977,-0.13270001,-0.11354,Household & Personal Products,Consumer Defensive,https://www.grove.co,"Grove Collaborative Holdings, I"
HLZ.MC,HOLALUZ CLIDOM S.A.,"Holaluz-Clidom, S.A.",Spain,EUR,EUR/USD, $1.08 ,2.52, $2.73 ,21821500,23676800,54553752," $59,010,794 ",,101058760,-31871376,,-1.44,0.09764,-0.06781,-0.046719998,Utilities - Renewable,Utilities,https://www.holaluz.com,HOLALUZ CLIDOM S.A.
TPX.L,TPXIMPACT HOLDINGS PLC ORD 1P,TPXimpact Holdings plc,United Kingdom,GBp,GBP/USD, $1.26 ,36.5, $46.08 ,91070896,92318400,32102490," $40,529,394 ",,47800136,-17316000,4.35,-0.27,0.24629,-0.21594,-0.18981001,Information Technology Services,Technology,https://www.tpximpact.com,TPXIMPACT HOLDINGS PLC ORD 1P
MLMFI.PA,CONDOR TECHNOLOGIES,Condor Technologies NV,Belgium,EUR,EUR/USD, $1.08 ,12, $12.98 ,2318960,,27827520," $30,101,028 ",,33856888,-739578,,-0.217,,-1531.3448,,Software - Infrastructure,Technology,https://www.condorscan.com,CONDOR TECHNOLOGIES
DOX.MI,DOXEE,Doxee S.p.A.,Italy,EUR,EUR/USD, $1.08 ,3.28, $3.55 ,8597810,8650880,27341036," $29,574,799 ",,46306352,-1007905,,-0.27,0.088929996,-0.19246,-0.03464,Software - Infrastructure,Technology,https://www.doxee.com,DOXEE
RETI.MI,RETI,Reti S.p.A.,Italy,EUR,EUR/USD, $1.08 ,2.14, $2.31 ,12340000,12456400,26160798," $28,298,135 ", CHECK ,,3020662,,0.09,0.132,0.0626,0.09781,Information Technology Services,Technology,https://www.reti.it,RETI
