,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,LMND_MktCap_USD,SOMA3.SA_MktCap_USD,ARZZ3.SA_MktCap_USD,MME.AX_MktCap_USD,AEF.AX_MktCap_USD,CONCHATORO.SN_MktCap_USD,MOVI3.SA_MktCap_USD,FREY.PA_MktCap_USD,LFG.AX_MktCap_USD,ABB.AX_MktCap_USD,1112.HK_MktCap_USD,VITL_MktCap_USD,2897.TW_MktCap_USD,KMD.NZ_MktCap_USD,SML.NZ_MktCap_USD,AMAL_MktCap_USD,BFT.WA_MktCap_USD,IBAB.BR_MktCap_USD,Index
2022-02-14,5691261939.103468,5200538736.672198,1994056852.614765,1923429189.5226624,1709331048.5083938,1107576927.1044977,735550872.4640679,1010460410.1358852,992731519.8680577,1011059242.5342824,937530665.9061948,886698505.3760655,919342757.7707272,693103953.234439,801344434.8271974,564900392.6046579,516157040.4057169,492930657.5023119,503128407.7142735,558438293.7894496,28.249571847659308
2022-02-15,5895426353.777446,5219882025.593102,2216990627.607265,2022500002.912624,1794215123.075103,1134659705.5034935,754555277.0158994,1024441839.5476345,1035183536.8507766,1021615592.0160881,934510887.2105548,907277469.7614163,919530129.7060966,707240186.0758293,807826246.51106,562824249.1079271,517959808.00522417,502488036.72007495,470049435.4748318,567851790.2508527,29.0170283227233
2022-02-16,6272014406.039894,5193028960.340382,2143593990.3125,2020627065.7374916,1766761524.8633385,1141965502.8044362,740428328.6161362,1034137040.4170806,1049815491.2022991,1023131893.8046365,896163433.178512,917241638.8418303,953587056.7004594,668258450.6130488,812573366.9370897,566238199.1135386,527196371.48161495,507411632.8986032,474473822.0961086,568066239.2459525,29.276714415244946
2022-02-17,6309558053.870328,5202935851.400777,1955643684.9420512,1936531367.405726,1721380178.5403445,1116507509.4983122,703541623.250162,1018940524.4440305,1011785899.6560196,1022486480.1038033,884802976.9269668,926801000.2659688,946652100.081486,616853922.9869511,812708861.6762342,562999540.0762548,518823680.51323307,498143893.93498397,464823679.1347408,563311907.1773525,28.795232735885726
2022-02-18,5991506997.666284,5202935851.400777,1810908176.849081,1936910703.2002795,1720664935.7807007,1116507509.4983122,703541623.250162,1012159894.8359013,1011297776.0569824,1022486480.1038033,884802976.9269668,926801000.2659688,946652100.081486,616425583.2437439,812708861.6762342,562999540.0762548,518823680.51323307,495826887.1586001,464823679.1347408,563311907.1773525,28.322096164896866
2022-02-20,5991506997.666284,5211488710.297516,1810908176.849081,1936910703.2002795,1720664935.7807007,1101634390.0910807,684603095.8016839,1012159894.8359013,1011297776.0569824,1018031604.6734604,838492299.6350503,994475524.2247453,919662160.8237838,616425583.2437439,811140262.6492329,554706569.4606923,532428999.84147465,495826887.1586001,460147861.81672525,559607079.4699343,28.28211951357695
2022-02-21,5666524482.870152,5082985384.328236,1810908176.849081,1869657523.5316226,1659815616.130452,1103739082.6393785,663651860.8330091,1045184470.1959046,1005438651.6437517,1017145283.803292,817053766.8467816,957261563.4857792,875714933.9194719,616425583.2437439,803604676.1602936,547107114.2676344,532972642.1319702,495826887.1586001,461750969.84809446,562868202.3512475,27.595636872238494
2022-02-22,5630721555.705891,5100455201.676204,1681949619.9591026,2024457689.2861183,1731009175.8663576,1110338395.6061528,637763577.0190979,1030352659.2900193,1104271396.5502176,1019173432.3075305,820155983.037762,1023042204.679608,919424649.9449911,592865181.5572195,802886283.7735219,538235136.8958919,536337443.22131383,493509995.6389827,447142333.20025647,580891439.9772403,27.824983355193474
2022-02-23,5782925007.652748,4824258680.009402,1574255478.8193376,2040937613.5866656,1748596868.740464,993086515.7196854,593778866.8764397,989756097.0199984,1119516645.2431781,999071422.320317,820115080.9320226,993999559.3936819,869560525.3184811,582584292.3730488,788627967.3263712,532644816.5312084,501930173.89317167,498433303.6755948,397965153.4667689,575915572.4561578,27.227959641354747
2022-02-24,5800663826.579998,4841043939.244173,1612668646.4920511,1995707317.059654,1698021932.1024253,1069338690.4838619,596436756.0525385,942512204.6000128,1070464865.1310444,988823612.9516344,819503765.612737,994953293.8807051,865052815.2491705,609999996.8641707,778304598.5141007,526099102.15699106,503389013.2956352,489165564.7119756,398433357.0175714,576190459.6468939,27.17677375764734
