,NTCO3.SA_px_USD,0973.HK_px_USD,COUR_px_USD,WRBY_px_USD,BFT.WA_px_USD,COCO_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,LMND_px_USD,1112.HK_px_USD,FREY.PA_px_USD,2897.TW_px_USD,CONCHATORO.SN_px_USD,LFG.AX_px_USD,AMAL_px_USD,MOVI3.SA_px_USD,ABB.AX_px_USD,VITL_px_USD,AEF.AX_px_USD,IBAB.BR_px_USD,Index,
1/15/24,3.169240968,2.869818366,19.60000038,13.76000023,535.7955224,25.87999916,12.60384017,1.56262945,16.62000084,1.471199618,29.77167834,0.301491384,1.083967082,3.012509034,25.16153717,2.119830327,2.473848383,15.25,3.437765916,12.14947175,627.6374557,
1/16/24,3.059515434,2.823794027,19.61000061,13.25,522.6641803,25.65999985,12.31324603,1.447303755,15.85000038,1.422770437,30.02415027,0.297397532,1.045896218,2.95837115,25.13179779,2.040028441,2.470800085,15.18999958,3.392961357,11.85736312,614.2029492,
1/17/24,3.134288009,2.921031218,19.45000076,12.98999977,544.4481263,25.29999924,11.96028019,1.448687215,16.45999908,1.380702083,30.26080816,0.295650812,1.047132163,2.954049293,24.8244648,2.034240474,2.443149304,14.82999992,3.320887566,11.53829449,631.9022857,
1/18/24,3.128076089,2.940623694,19.57999992,13.25,553.1784318,24.44000053,11.76840448,1.414481365,16,1.370836949,28.93726312,0.297193282,1.050891137,2.928498443,24.95334625,1.956327297,2.448093204,14.75,3.441229165,11.50963298,637.3343863,
1/19/24,3.226667168,2.940623694,17.55999947,13.18000031,553.1784318,22.36000061,11.86453429,1.415389711,16.45000076,1.370836949,28.93726312,0.297193282,1.069300955,2.928498443,25.34990311,2.027778949,2.448093204,14.40999985,3.441229165,11.50963298,634.4224984,
1/21/24,3.226667168,2.833458711,17.55999947,13.18000031,562.6555743,22.36000061,11.86453429,1.415389711,16.45000076,1.30110217,28.9713014,0.299692996,1.069300955,2.901743087,25.34990311,2.027778949,2.413722663,14.40999985,3.527210368,11.39247404,642.3914931,
1/22/24,3.14093622,2.903834566,17.95000076,13.23999977,553.6131989,21,11.46159916,1.346772964,17.20999908,1.321243925,28.93348603,0.301118703,1.082357996,2.957174203,26.15292931,1.903920172,2.431454376,14.56999969,3.560440393,11.26883087,634.7534475,
1/23/24,3.219661487,2.959582158,18.48999977,13.31000042,539.2286359,20.96999931,11.60748063,1.405009837,17.18000031,1.385825986,28.87898552,0.30245322,1.09666337,2.890222795,25.87534142,1.933907192,2.442534625,14.59000015,3.73064988,11.39959939,623.1568105,
1/24/24,3.058524369,3.063547276,18.40999985,13.05000019,553.8000618,20.87999916,11.25042882,1.378182678,16.84000015,1.404206286,29.38087958,0.302803737,1.070549831,2.807823227,26.42060661,1.963910176,2.46588692,14.71000004,3.680383701,11.33884324,635.5528406,
1/25/24,3.040778172,2.967340171,18.95999908,13.22000027,543.0133522,20.95999908,11.64257044,1.43168027,16.65999985,1.36381764,29.28575302,0.303225441,1.069374102,2.807823227,25.3598175,1.968560444,2.46588692,15.02000046,3.680383701,11.36721031,626.3385708,
1/26/24,2.998334984,2.967340171,19.86000061,12.97000027,543.0133522,20.09000015,11.77965313,1.41372107,16.54000092,1.36381764,29.28575302,0.303225441,1.06088584,2.807823227,26.01413536,1.916151505,2.46588692,14.93000031,3.680383701,11.36721031,626.5455475,
1/28/24,2.998334984,3.071483008,19.86000061,12.97000027,538.5026945,20.09000015,11.77965313,1.41372107,16.54000092,1.379733217,29.2760679,0.302671021,1.06088584,2.716801486,26.01413536,1.916151505,2.479985779,14.93000031,3.537919231,11.55862516,622.7277897,
1/29/24,2.907813206,2.956289202,20.65999985,13.18000031,543.179011,20.63999939,11.51119585,1.373265508,17.5,1.336925229,29.25164541,0.302210831,1.054795334,2.751359044,26.59905815,1.894298568,2.486805375,15.05000019,3.682008633,11.61398691,629.2204117,
1/30/24,2.88352554,3.185216453,19.87000084,13.27000046,553.3810836,20.23999977,11.27671432,1.369199951,16.70999908,1.28599179,29.27638534,0.302173913,1.036950298,2.749906903,27.35251617,1.855891827,2.532288268,15.07999992,3.540124291,11.45032006,636.7352419,
1/31/24,2.981349486,3.210724636,19.13999939,12.75,558.9134722,19.69000053,12.63576536,1.59890178,15.81999969,1.316160098,29.38523366,0.302622697,1.054555194,2.716339284,26.33138275,1.87144193,2.506380729,14.38000011,3.476591873,11.10588918,638.9235178,
2/1/24,3.058171383,3.299169356,19.13999939,13.05000019,571.8455977,20.05999947,12.78349688,1.584462094,16.18000031,1.298112311,29.3607512,0.301129294,1.053096337,2.748265948,25.79603004,1.871251737,2.511573246,15.14000034,3.588373465,11.09183913,651.4871475,
2/2/24,2.997969758,3.299169356,18.20999908,13.72000027,571.8455977,19.94000053,12.63825338,1.551607249,16.04999924,1.298112311,29.3607512,0.301129294,1.023265723,2.748265948,25.40938568,1.84341402,2.511573246,14.75,3.588373465,11.09183913,650.1228912,
2/4/24,2.997969758,3.324083857,18.20999908,13.72000027,567.0469295,19.94000053,12.63825338,1.551607249,16.04999924,1.307915306,29.3218785,0.29881365,1.023265723,2.868768379,25.40938568,1.84341402,2.510985494,14.75,3.505088815,10.95258356,645.8922625,
2/5/24,2.980606798,3.554207643,17.62000084,13.25,556.798109,19.61000061,11.93393216,1.445745157,15.31000042,1.335580906,29.0018529,0.29881365,1.019743587,2.877073198,25.12075615,1.791597918,2.501239212,14.94999981,3.568786253,10.73068533,634.1926419,
2/6/24,3.188941316,3.547531813,17.75,13.97000027,563.8668206,19.55999947,11.98679398,1.448488225,15.85000038,1.35810938,29.25800912,0.29881365,1.033054991,2.91173084,24.56340218,1.811113868,2.611417771,14.86999989,3.543658098,10.60602764,641.3777991,
2/7/24,3.123168916,3.548979109,17.47999954,13.51000023,565.6209625,19.90999985,12.07651209,1.454492495,15.67000008,1.368727639,29.09310332,0.29881365,1.038025549,2.777506262,24.16529274,1.80453638,2.653626844,14.89999962,3.428814056,10.86142516,642.0243824,
2/8/24,3.053582539,3.573551978,17.62000084,13.81999969,570.4108702,20.17000008,11.73548114,1.421875719,16.05999947,1.368342642,28.88164371,0.29881365,1.022645421,2.80042334,24.03590584,1.706250978,2.611995806,15.31000042,3.455755661,10.92760767,646.7661902,
2/9/24,3.073209296,3.573551978,17.87000084,13.89000034,570.4108702,20.15999985,12.15546737,1.457848351,16.55999947,1.368342642,28.88164371,0.29881365,1.019130774,2.80042334,23.79703903,1.675919937,2.611995806,15.5,3.455755661,10.92760767,647.8031001,
2/11/24,3.073209296,3.573551978,17.87000084,13.89000034,566.5522996,20.15999985,12.15546737,1.457848351,16.55999947,1.368342642,28.93840249,0.29881365,1.019130774,2.746858428,23.79703903,1.675919937,2.596792517,15.5,3.346930423,11.18663613,644.5960325,
2/12/24,3.073209296,3.573551978,17.60000038,14.35000038,562.2680644,20.64999962,12.15546737,1.457848351,16.95999908,1.368342642,28.86842165,0.29881365,1.024426453,2.690071082,24.66292953,1.675919937,2.579073106,15.43999958,3.323374956,11.67663075,642.810688,
2/13/24,3.073209296,3.529709717,17.02000046,13.76000023,555.2740796,20.55999947,12.15546737,1.457848351,16.02000046,1.305794861,28.70147174,0.29881365,1.025049501,2.65828568,23.38897705,1.675919937,2.516338518,15.03999996,3.181478037,11.3092374,632.6866363,
2/14/24,3.101516574,3.536608325,17.03000069,14.38000011,536.4842678,21.79000092,11.82744224,1.42460517,17.18000031,1.316046465,28.761073,0.307396961,1.063979233,2.703355961,23.7671814,1.619784183,2.57988549,15.19999981,3.249531567,10.96784262,619.1862814,
2/15/24,3.021023504,3.59327002,17.04000092,14.73999977,582.7024649,22.17000008,11.78754298,1.399305783,18.01000023,1.350938219,28.87262028,0.309485682,1.064435141,2.694990459,24.32453728,1.628502488,2.557957025,15.56999969,3.217597013,11.31203439,661.4913111,
2/16/24,3.032586653,3.59327002,16.86000061,14.5,582.7024649,21.75,11.83385707,1.427391122,17.67000008,1.350938219,28.87262028,0.309485682,1.055904202,2.694990459,23.86670876,1.628715677,2.557957025,15.61999989,3.217597013,11.31203439,660.189491,
2/18/24,3.032586653,3.580115832,16.86000061,14.5,588.987719,21.75,11.83385707,1.427391122,17.67000008,1.35331532,28.90282421,0.314531585,1.055904202,2.732722608,23.86670876,1.628715677,2.53659437,15.61999989,3.184624176,11.00032873,665.3456384,
2/19/24,3.025182979,3.637665133,16.86000061,14.5,582.5683597,21.75,11.90019248,1.417938231,17.67000008,1.340742308,28.87697572,0.313523529,1.054542544,2.710131579,23.86670876,1.653925018,2.520748764,15.61999989,3.135683452,10.77499125,659.6212336,
2/20/24,3.137252072,3.599295435,16.52000046,14.06999969,576.1804497,21.37000084,12.25065919,1.446864386,17.89999962,1.408655484,28.97453834,0.312173528,1.038447401,2.673807255,24.11552811,1.749224494,2.50341758,16.09000015,3.257487581,10.51948704,654.3800852,
2/21/24,3.122499745,3.599371372,16.21999931,14,576.4176993,21.04999924,12.16473282,1.434243272,17.04000092,1.401138787,28.99742403,0.311055842,1.022437464,2.673665329,24.05581093,1.685438378,2.503284698,18,3.19216838,10.52779592,654.6399671,
2/22/24,3.147967507,3.624137958,16.38999939,14.14000034,583.3668832,21.20000076,12.10540103,1.434356028,17.69000053,1.43603635,28.7950468,0.309594554,1.010219801,2.721984448,23.42878914,1.690203337,2.971226467,16.62999916,3.488463127,10.44632281,660.336131,
2/23/24,3.055994257,3.624137958,16.47999954,14.23999977,583.3668832,21.45000076,12.00479496,1.419276244,17.89999962,1.43603635,28.7950468,0.309594554,1.000910487,2.721984448,23.60793686,1.651485015,2.971226467,16.84000015,3.488463127,10.44632281,661.0114958,
2/25/24,3.055994257,3.674391409,16.47999954,14.23999977,582.717064,21.45000076,12.00479496,1.419276244,17.89999962,1.475921836,28.99663968,0.308694482,1.000910487,2.691666276,23.60793686,1.651485015,3.033048335,16.84000015,3.432937972,10.21374157,660.48084,
2/26/24,3.052166426,3.578572022,16.19000053,13.97000027,578.915495,22.03000069,11.70340941,1.379351862,20.03000069,1.470907234,29.07954475,0.310164478,0.997759932,2.654894417,23.41883659,1.632333477,3.008008433,17.29999924,3.360892333,10.48165693,659.0752966,
2/27/24,3.163369594,3.79574554,16.36000061,15.03999996,576.5380727,22.43000031,12.0553817,1.443078631,21.71999931,1.458298084,29.06090889,0.310164478,1.01496125,2.617460161,23.45864677,1.771419538,2.938098881,17.87999916,3.350195414,10.2038491,660.8387081,
2/28/24,3.07613367,3.781322106,15.77000046,12.78999996,587.3401098,25.77000046,11.9545994,1.422879084,15.69999981,1.470230777,29.04566481,0.314248882,1.028551667,2.539154004,23.3989296,1.760988923,2.954770064,17.43000031,3.447437251,10.1226314,664.7247308,
2/29/24,3.028172061,3.819392502,16.06999969,12.71000004,605.8861084,26.10000038,11.91439569,1.408083243,16.23999977,1.465107016,28.95591164,0.311730385,1.021327723,2.599259211,22.97096062,1.715849955,2.820196343,17.96999931,3.301059458,10.40468061,681.6158017,
3/1/24,3.09606199,3.819392502,15.93000031,12.89999962,605.8861084,26.14999962,11.97851546,1.432981648,16.92000008,1.465107016,28.95591164,0.311730385,1.020708834,2.599259211,23.09039497,1.711504772,2.820196343,18.26000023,3.301059458,10.40468061,682.7721076,
3/3/24,3.09606199,3.819326638,15.93000031,12.89999962,610.1923211,26.14999962,11.97851546,1.432981648,16.92000008,1.457542726,29.05715938,0.311645859,1.020708834,2.767678069,23.09039497,1.711504772,2.865591276,18.26000023,3.25071641,10.62537968,686.895975,
3/4/24,3.013557179,3.725263371,15.39000034,12.48999977,630.201991,26.18000031,11.48915956,1.372714948,17.25,1.465766084,29.09043461,0.317215618,1.009985677,2.752571194,22.61266136,1.692139031,3.012861675,18.32999992,3.136499661,10.61583772,702.6806755,
