,0973.HK,1112.HK,1346.HK,1H2.SI,2897.TW,6088.T,ABB.AX,AEF.AX,ALQP.PA,AMAL,ARZZ3.SA,BFT.WA,BIO.AX,BIRD,CLSA3.SA,COCO,CONCHATORO.SN,COUR,CVT.NZ,CWEB.TO,DOX.MI,FLOW.TO,FREY.PA,GFI.NZ,GROV,HAN.MC,HLZ.MC,HMGS.TA,IBAB.BR,INCLU.BR,KCT.L,KMD.NZ,KPG.AX,LFG.AX,LMND,MLMFI.PA,MME.AX,MOVI3.SA,MPR.AX,NTCO3.SA,RETI.MI,SML.NZ,SOMA3.SA,TENG.L,TIME.MI,TPX.L,VHT.AX,VITL,VNT.MI,VVPR,WRBY,XHS.MI,XSG.L,ZVIA
2023-02-22,19.129077911376953,12.916977882385254,0.3685879111289978,0.18000000715255737,9.33076000213623,,2.9100000858306885,3.7734436988830566,18.899999618530273,23.290468215942383,74.38690948486328,805.0202026367188,0.06400000303983688,2.740000009536743,5.059999942779541,15.979999542236328,1010.1339721679688,12.699999809265137,3.3057477474212646,0.6299999952316284,9.760000228881836,0.6399999856948853,32.46902084350586,0.08900000154972076,2.005000114440918,0.46000000834465027,5.800000190734863,599.7000122070312,17.918020248413086,13.780132293701172,180.1999969482422,1.03125,4.0846123695373535,3.4748425483703613,16.40999984741211,14.600000381469727,0.22499999403953552,6.656827926635742,0.02199999988079071,13.75252914428711,2.0343127250671387,3.3299999237060547,8.990103721618652,90.0,4.489999771118164,23.0,0.7599999904632568,16.010000228881836,5.471604824066162,5.050000190734863,13.399999618530273,,4.849999904632568,4.369999885559082
2023-02-23,18.75322151184082,12.601930618286133,0.3685879111289978,0.18000000715255737,9.350019454956055,1064.9378662109375,2.930000066757202,3.470395088195801,18.899999618530273,23.153348922729492,74.48402404785156,797.2044677734375,0.06499999761581421,2.799999952316284,5.25,16.440000534057617,996.0015258789062,12.720000267028809,3.3057477474212646,0.6000000238418579,9.699999809265137,0.6299999952316284,32.46902084350586,0.0860000029206276,2.444999933242798,0.46000000834465027,5.71999979019165,,17.483882904052734,13.684768676757812,186.0,1.040624976158142,4.312083721160889,3.4291210174560547,16.93000030517578,14.600000381469727,0.2199999988079071,6.617379665374756,0.019999999552965164,14.149415016174316,1.949155330657959,3.390000104904175,9.039499282836914,87.0,4.480000019073486,23.0,0.7599999904632568,15.739999771118164,5.501235008239746,4.699999809265137,13.369999885559082,,4.849999904632568,4.199999809265137
2023-02-24,,,,,,,,,,22.937881469726562,72.4835433959961,,,2.740000009536743,5.380000114440918,16.399999618530273,1009.65966796875,12.140000343322754,,0.5899999737739563,,0.5600000023841858,,,2.200000047683716,,,,,,126.80000305175781,,,,15.9399995803833,,,6.4990363121032715,,13.75252914428711,,,8.871552467346191,86.5,,23.0,,16.399999618530273,,4.300000190734863,13.1899995803833,,4.849999904632568,3.759999990463257
2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.2999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,18.594966888427734,12.694591522216797,0.36458152532577515,0.18000000715255737,,1052.3177490234375,2.9000000953674316,3.441067934036255,19.0,,,805.0202026367188,0.06300000101327896,,,,,,3.3057477474212646,,9.779999732971191,,32.65456008911133,0.08500000089406967,,0.46000000834465027,5.860000133514404,730.7000122070312,17.68121910095215,13.732449531555176,,1.040624976158142,4.351644992828369,3.4748425483703613,,14.600000381469727,0.20000000298023224,,0.019999999552965164,,2.0059268474578857,3.309999942779541,,,4.480000019073486,,0.7649999856948853,,5.392592906951904,,,,,
2023-02-27,18.515838623046875,12.249817848205566,0.36458152532577515,0.12200000137090683,,1082.411865234375,3.119999885559082,3.3726377487182617,18.799999237060547,22.839937210083008,72.83314514160156,820.6516723632812,0.06599999964237213,2.7699999809265137,5.099999904632568,16.670000076293945,1005.4865112304688,11.3100004196167,3.2959673404693604,0.5699999928474426,9.779999732971191,0.6200000047683716,32.84009552001953,0.08500000089406967,2.180000066757202,0.46000000834465027,5.659999847412109,699.7000122070312,18.214021682739258,14.161589622497559,119.4000015258789,1.0593750476837158,4.163733005523682,3.4748425483703613,15.90999984741211,14.600000381469727,0.19499999284744263,6.439864635467529,0.020999999716877937,13.817138671875,1.9586172103881836,3.3299999237060547,8.901190757751465,85.0,4.510000228881836,23.25,0.7850000262260437,16.350000381469727,5.412345886230469,4.550000190734863,13.069999694824219,,4.849999904632568,3.700000047683716
2023-02-28,18.713659286499023,12.67605972290039,0.37259432673454285,0.12200000137090683,9.407794952392578,1096.973388671875,3.1700000762939453,3.559459924697876,18.600000381469727,23.065202713012695,72.4447021484375,816.7437744140625,0.06700000166893005,2.859999895095825,5.260000228881836,16.90999984741211,1027.2064208984375,11.270000457763672,3.3057477474212646,0.5099999904632568,9.479999542236328,0.6299999952316284,32.46902084350586,0.08100000023841858,2.180000066757202,0.46000000834465027,5.739999771118164,742.7000122070312,18.095623016357422,14.9245023727417,115.0,1.0593750476837158,4.153841972351074,3.438265323638916,16.299999237060547,14.600000381469727,0.20000000298023224,6.4891743659973145,0.020999999716877937,14.14018440246582,1.949155330657959,3.4000000953674316,8.673967361450195,90.0,4.5,24.0,0.7950000166893005,16.15999984741211,5.244444370269775,6.190000057220459,13.010000228881836,,4.800000190734863,3.490000009536743
2023-03-01,18.75322151184082,12.361011505126953,0.3846134543418884,0.12200000137090683,9.369277000427246,1098.9149169921875,3.2100000381469727,3.588958263397217,18.600000381469727,22.928085327148438,71.78433990478516,838.237060546875,0.07000000029802322,2.8499999046325684,5.369999885559082,17.110000610351562,1033.5614013671875,11.029999732971191,3.286186933517456,0.5099999904632568,9.260000228881836,0.6299999952316284,32.46902084350586,0.08100000023841858,2.1549999713897705,0.46000000834465027,5.760000228881836,772.5999755859375,18.33242416381836,14.686092376708984,112.0,1.040624976158142,4.213183879852295,3.4565536975860596,15.199999809265137,14.600000381469727,0.19499999284744263,6.065109729766846,0.020999999716877937,13.374103546142578,1.8781909942626953,3.2799999713897705,8.18000602722168,92.0,4.480000019073486,24.0,0.7250000238418579,16.280000686645508,5.214815139770508,5.679999828338623,12.260000228881836,,4.800000190734863,3.559999942779541
2023-03-02,18.594966888427734,13.343219757080078,0.39262625575065613,0.12200000137090683,9.26335620880127,1082.411865234375,3.369999885559082,3.588958263397217,18.700000762939453,22.604875564575195,70.62873077392578,830.4213256835938,0.07500000298023224,2.940000057220459,5.420000076293945,17.110000610351562,1031.9490966796875,11.050000190734863,3.286186933517456,0.5099999904632568,9.15999984741211,0.5899999737739563,32.09794616699219,0.08100000023841858,2.240000009536743,0.46000000834465027,5.639999866485596,,18.352157592773438,14.686092376708984,116.0,1.040624976158142,4.321975231170654,3.3742549419403076,14.90999984741211,14.600000381469727,0.19499999284744263,6.0059380531311035,0.020999999716877937,13.263344764709473,1.849805235862732,3.2100000381469727,7.952784061431885,95.0,4.480000019073486,24.0,0.7099999785423279,15.779999732971191,5.254321098327637,5.099999904632568,12.15999984741211,,4.650000095367432,3.700000047683716
2023-03-03,,,,,,,,,,22.59508514404297,72.07567596435547,,,3.059999942779541,5.159999847412109,17.110000610351562,1024.361328125,11.609999656677246,,0.5199999809265137,,0.6299999952316284,,,2.390000104904175,,,,,,115.5999984741211,,,,15.579999923706055,,,6.18345308303833,,13.281805992126465,,,7.834232807159424,102.0,,26.5,,15.979999542236328,,5.449999809265137,12.479999542236328,,4.650000095367432,3.75
