,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,AEF.AX_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,FREY.PA_px_USD,LFG.AX_px_USD,ABB.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,SML.NZ_px_USD,AMAL_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,Index
2022-06-12,3.0135497028894975,2.863596328044805,17.809999465942383,1.9895458905017858,14.032576112967073,0.6388052752243926,3.383709417616825,1.3756424458919485,2.939868960657885,30.259009482169475,2.7374297009843302,2.455851483552164,1.1585065719411063,8.960000038146973,0.2724859375691369,0.6288381141036615,2.0593798415228006,19.701433181762695,126.65365460658178,15.619179399552658,258.55306195762336
2022-06-13,2.693282587951887,2.8510591206145532,16.84000015258789,1.873518349425474,13.222971343682843,0.5622403559357558,3.1469789491838336,1.3290792974817955,2.682555917279178,30.224756596244024,2.5474095897866067,2.2489614237430233,1.1312768642779718,8.449999809265137,0.27643008200976527,0.5998453457924832,1.9765202548565497,19.114336013793945,112.34647229291346,15.365985921334142,239.4836802681603
2022-06-14,2.6243317131763124,2.8201675932564534,16.649999618530273,1.8397131146644188,13.43936911903169,0.530376802369554,3.04243053901837,1.304270719531893,2.586969259979323,30.296445488993218,2.5166897510861115,2.2386034420766525,1.1425751228663201,8.420000076293945,0.2787210328951481,0.6178717775005602,1.9113970527394915,19.354951858520508,114.2384377269824,15.422777780533501,241.27609959004613
2022-06-15,2.872280028304949,2.851495015165314,17.700000762939453,1.9686144237802659,13.807763249789582,0.5192264715241073,3.024125221687246,1.3232149895104313,2.670271026039939,30.52553337153471,2.4725109265801826,2.24530366516609,1.0805346222984324,8.779999732971191,0.2775797175732339,0.6415863074791679,2.007097232357967,19.576313018798828,114.2384377269824,14.815168897598985,243.39705640808248
2022-06-16,2.872280028304949,2.8821537378031614,16.489999771118164,1.9686144237802659,13.807763249789582,0.49282446724200707,3.14396641416479,1.2880108266966348,2.670271026039939,30.790230934635343,2.4465912645886423,2.203629521622968,1.0374670339308059,8.770000457763672,0.2716781042228458,0.6311798998857796,2.073408843446983,19.056589126586914,108.99745956395869,15.210853898031644,237.10497259361378
2022-06-17,2.691682787398994,2.8821537378031614,17.479999542236328,1.9457107889873304,13.081149027104837,0.49282446724200707,3.14396641416479,1.2563564464004269,2.5670612485622586,30.790230934635343,2.4465912645886423,2.203629521622968,1.0374670339308059,9.0600004196167,0.2716781042228458,0.6311798998857796,2.073408843446983,19.268329620361328,108.99745956395869,15.210853898031644,237.53173356420186
2022-06-19,2.691682787398994,2.8079486224629195,17.479999542236328,1.9457107889873304,13.081149027104837,0.479584303008185,3.2728963946533463,1.2563564464004269,2.5670612485622586,30.628396403238117,2.257351725679805,2.133802584502614,1.04759522507614,9.0600004196167,0.2688132572913944,0.6391939125683884,2.023952239587693,19.268329620361328,108.59323266641736,15.37627172519618,236.87932894035035
2022-06-20,2.469957414111252,2.820264594134197,17.479999542236328,1.8621010147392378,12.779694306006945,0.5017788957451448,3.4240666109526483,1.2694175882604395,2.582477736745252,30.710231070954126,2.297361181550788,2.216190081335012,1.060029459008624,9.0600004196167,0.27661576573046176,0.6461047642508548,2.0275686269772537,19.268329620361328,113.17534387108293,15.232837765081273,241.16037032888082
2022-06-21,2.59092511077249,2.8017113774382345,17.709999084472656,1.9124962018878116,12.754423659858812,0.45249434114603737,3.196779933708292,1.2694175882604395,2.5946506264364544,30.74872155499183,2.3739548253279388,2.220703118605356,1.049832873532186,8.970000267028809,0.27267010231710415,0.6440854738841634,2.040180836495289,19.585939407348633,109.60496218514949,15.169819905031545,237.96376847369356
2022-06-22,2.6517046962594013,2.8079682966148654,18.780000686645508,1.9073499178159647,12.807970242892177,0.4142916985212258,3.1707930114055562,1.256998204709003,2.535643183321017,31.57094427108261,2.382688693779054,2.188841106223659,1.06004701419569,9.050000190734863,0.2734630556511244,0.6508033542287784,1.9876727151445266,19.51856803894043,102.12764719622886,15.316173713629688,232.45956928802403
2022-06-23,2.6787039380319104,2.97463310085071,19.799999237060547,1.9364397548774648,12.992150046738127,0.4279950192206843,3.505810646078222,1.2378522012830773,2.5195667071282273,30.712169460653424,2.3316519548337644,2.3056505104319034,1.0996572623252534,9.15999984741211,0.27838801374898325,0.6508033542287784,1.9876727151445266,19.114336013793945,101.22190504807692,15.787382608114187,232.72276744003278
2022-06-24,2.7205973096170446,2.97463310085071,19.940000534057617,1.84075626241769,12.635235292910314,0.4279950192206843,3.505810646078222,1.2052098479812912,2.461774644457695,30.712169460653424,2.3316519548337644,2.3056505104319034,1.0996572623252534,8.9399995803833,0.27838801374898325,0.6508033542287784,1.9876727151445266,19.797679901123047,101.22190504807692,15.787382608114187,232.82497306665536
2022-06-26,2.7205973096170446,2.962454351370398,19.940000534057617,1.84075626241769,12.635235292910314,0.4026952695876188,3.634140790515476,1.2052098479812912,2.461774644457695,30.84634892055358,2.3845822462535784,2.4161717002929857,1.1472369549542036,8.9399995803833,0.27856649436038733,0.6667911357948171,1.9635089706451139,19.797679901123047,103.48635541649998,15.650430791137738,235.38053641491388
2022-06-27,2.644495832529838,3.278202609703157,19.93000030517578,1.8142946474514972,12.645963842013476,0.4153298403000467,3.5087347188250217,1.2052098479812912,2.473239417910393,31.07346047796397,2.4167610072893866,2.4366016197354448,1.1634270025536098,9.069999694824219,0.2792755270919876,0.6589291266754987,1.9824038662333268,19.152833938598633,105.91736036288876,15.878586050011391,237.94510973575672
