,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,FREY.PA_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,AEF.AX_px_USD,ABB.AX_px_USD,LFG.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,AMAL_px_USD,SML.NZ_px_USD,IBAB.BR_px_USD,BFT.WA_px_USD,Index,
2/7/22,3.612501608,3.786188314,28.62999916,2.490468423,14.64700705,1.38976495,34.35648902,1.387168783,2.659260484,6.235581555,3.107371907,3.095878457,1.444675626,15.51000023,0.300692419,0.811650572,16.3224659,2.283393001,19.03093201,161.4337528,322.5352422,
2/8/22,3.808661597,3.841404887,28.35000038,2.451243089,14.63407756,1.39308007,33.91185471,1.383524334,2.633677665,6.541175432,3.179079945,3.091662048,1.460049878,15.25,0.301684874,0.82467806,16.50371552,2.293547518,19.6982612,166.2916641,327.8430428,
2/9/22,4.125716761,3.798963509,31.01000023,2.44189529,14.84785962,1.388749295,34.11916771,1.396654078,2.718252841,6.773051339,3.315773527,3.193352104,1.451514991,15.5,0.298387884,0.828506035,15.99811459,2.297514849,20.1911601,167.5629098,333.2575445,
2/10/22,4.177454842,3.765253752,29.45999908,2.392336214,15.24274034,1.371446387,34.09587905,1.423140705,2.745324,6.494839573,3.244204983,3.186500399,1.448270181,15.48999977,0.302251682,0.832866505,16.07443237,2.273227307,20.155135,165.6392509,329.8145531,
2/11/22,4.073634876,3.765253752,29,2.353549658,15.07469125,1.371446387,34.09587905,1.385396776,2.674844385,6.494839573,3.244204983,3.186500399,1.448270181,15.53999996,0.302251682,0.832866505,15.94087505,2.273227307,20.155135,165.6392509,328.8521177,
2/13/22,4.073634876,3.701155606,29,2.353549658,15.07469125,1.297401664,33.9547277,1.385396776,2.674844385,6.157183708,3.138067741,3.099291894,1.418462174,15.53999996,0.299857421,0.830637731,15.94087505,2.273792597,18.65382605,165.7918742,326.6592704,
2/14/22,4.050557806,3.532566808,29.06999969,2.430861715,15.24269614,1.297815073,33.77161713,1.358275903,2.744585345,6.21131609,3.094789809,3.085971928,1.451591272,16.18000031,0.299557242,0.820830978,16.31471443,2.262997397,19.69903432,169.5071565,332.4269359,
2/15/22,4.195864221,3.545705867,32.31999969,2.556069053,15.99963838,1.329549607,34.12422167,1.3770701,2.861951227,6.371796985,3.166615316,3.076032037,1.451887122,16.51000023,0.301980297,0.817814307,16.63104248,2.270901306,20.03109749,158.3626406,327.301878,
2/16/22,4.463886988,3.527465403,31.25,2.553701818,15.75482956,1.338110253,34.17486951,1.390102535,2.902404272,6.252503481,3.201392648,2.949808064,1.505661123,15.60000038,0.303754823,0.822774962,16.79399681,2.311397352,20.03866222,159.8532446,326.9885668,
2/17/22,4.490608321,3.534195095,28.51000023,2.447420465,15.3501483,1.308279578,34.15331126,1.369675454,2.797264612,5.941015181,3.234757106,2.912413692,1.49471121,14.39999962,0.303805542,0.818069014,16.487257,2.274688799,19.87095211,156.6020501,318.3006227,
2/18/22,4.264246362,3.534195095,26.39999962,2.447900061,15.34376876,1.308279578,34.15331126,1.360560371,2.795914922,5.941015181,3.234757106,2.912413692,1.49471121,14.39000034,0.303805542,0.818069014,16.41057014,2.274688799,19.87095211,156.6020501,315.8612093,
2/20/22,4.264246362,3.540004545,26.39999962,2.447900061,15.34376876,1.290851842,34.00450856,1.360560371,2.795914922,5.781089901,3.470957376,2.759977836,1.452095592,14.39000034,0.303219103,0.806018876,16.41057014,2.334338867,19.74026349,155.0267376,313.9230241,
2/21/22,4.032951325,3.452716175,26.39999962,2.362904192,14.80115125,1.293318038,33.97490348,1.404953116,2.77971613,5.604169114,3.341071755,2.689410854,1.382705356,14.39000034,0.30040223,0.794976453,16.41057014,2.336722368,19.85530032,155.5668348,313.1747771,
2/22/22,4.007469749,3.464583131,24.52000046,2.558543209,15.43601046,1.301050853,34.04264813,1.385015666,3.052957249,5.385557023,3.570661922,2.699621924,1.451720575,13.84000015,0.300133682,0.782084906,16.33388519,2.351474731,20.49107401,150.6450923,307.6195854,
