,BFT.WA
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,636.9819946289062
2022-09-02,
2022-09-02,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,646.7516479492188
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,605.7190551757812
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,611.5808715820312
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,635.028076171875
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,656.5213012695312
2022-09-09,
2022-09-09,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,666.291015625
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,644.7977294921875
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,629.166259765625
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,619.3966064453125
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,592.0415649414062
2022-09-16,
2022-09-16,
2022-09-18,
2022-09-18,
2022-09-18,590.087646484375
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,592.0415649414062
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,588.1336669921875
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,586.1797485351562
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,584.225830078125
2022-09-23,
2022-09-23,
2022-09-25,
2022-09-25,
2022-09-25,576.4100952148438
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,576.4100952148438
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,586.1797485351562
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,570.5482788085938
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,556.8707885742188
2022-09-30,
2022-09-30,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,554.9168090820312
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,593.9954833984375
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,593.9954833984375
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,586.1797485351562
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,572.5022583007812
2022-10-07,
2022-10-07,
2022-10-09,
2022-10-09,
2022-10-09,562.7325439453125
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,586.1797485351562
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,584.225830078125
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,576.4100952148438
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,588.1336669921875
2022-10-14,
2022-10-14,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,586.1797485351562
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,582.2719116210938
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,570.5482788085938
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,595.9494018554688
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,580.3179321289062
2022-10-21,
2022-10-21,
2022-10-23,
2022-10-23,
2022-10-23,562.7325439453125
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,576.4100952148438
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,586.1797485351562
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,584.225830078125
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,586.1797485351562
2022-10-28,
2022-10-28,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,605.7190551757812
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,615.48876953125
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,625.2584228515625
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,635.028076171875
2022-11-04,
2022-11-04,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,658.4752807617188
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,664.3370361328125
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,652.6134643554688
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,668.2449340820312
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-11,
2022-11-11,
2022-11-13,
2022-11-13,
2022-11-13,
2022-11-13,670.1988525390625
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,631.1201782226562
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,625.2584228515625
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,623.3045043945312
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,619.3966064453125
2022-11-18,
2022-11-18,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-20,623.3045043945312
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,625.2584228515625
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,638.9359130859375
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,662.3831176757812
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,658.4752807617188
2022-11-25,
2022-11-25,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,664.3370361328125
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,658.4752807617188
2022-11-29,
2022-11-29,
2022-11-29,
2022-11-29,
2022-11-29,
2022-11-29,652.6134643554688
2022-11-30,
2022-11-30,
2022-11-30,
2022-11-30,
2022-11-30,
2022-11-30,664.3370361328125
2022-12-01,
2022-12-01,
2022-12-01,
2022-12-01,
2022-12-01,
2022-12-01,662.3831176757812
2022-12-02,
2022-12-02,
2022-12-04,
2022-12-04,
2022-12-04,
2022-12-04,644.7977294921875
2022-12-05,
2022-12-05,
2022-12-05,
2022-12-05,
2022-12-05,
2022-12-05,644.7977294921875
2022-12-06,
2022-12-06,
2022-12-06,
2022-12-06,
2022-12-06,
2022-12-06,638.9359130859375
2022-12-07,
2022-12-07,
2022-12-07,
2022-12-07,
2022-12-07,
2022-12-07,595.9494018554688
2022-12-08,
2022-12-08,
2022-12-08,
2022-12-08,
2022-12-08,
2022-12-08,621.3505249023438
2022-12-09,
2022-12-09,
2022-12-11,
2022-12-11,
2022-12-11,
2022-12-11,635.028076171875
2022-12-12,
2022-12-12,
2022-12-12,
2022-12-12,
2022-12-12,
2022-12-12,650.6595458984375
2022-12-13,
2022-12-13,
2022-12-13,
2022-12-13,
2022-12-13,
2022-12-13,644.7977294921875
2022-12-14,
2022-12-14,
2022-12-14,
2022-12-14,
2022-12-14,
2022-12-14,640.889892578125
2022-12-15,
2022-12-15,
2022-12-15,
2022-12-15,
2022-12-15,
2022-12-15,662.3831176757812
2022-12-16,
2022-12-16,
2022-12-18,
2022-12-18,
2022-12-18,
2022-12-18,662.3831176757812
2022-12-19,
2022-12-19,
2022-12-19,
2022-12-19,
2022-12-19,
2022-12-19,662.3831176757812
2022-12-20,
2022-12-20,
2022-12-20,
2022-12-20,
2022-12-20,
2022-12-20,672.1527709960938
2022-12-21,
2022-12-21,
2022-12-21,
2022-12-21,
2022-12-21,
2022-12-21,683.8764038085938
2022-12-22,
